dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,columnSize,definedBy,ordinalPosition,pk,pii,classification,nullPercentage,refersTo,V1
CRMDUMMY,public,activity,activity,activity_date,Column,timestamp,TRUE,29,DATETIME,3,,,,,,
CRMDUMMY,public,activity,activity,activity_id,Column,int8,FALSE,19,INTEGER,2,TRUE,,,,,
CRMDUMMY,public,activity,activity,activity_note,Column,varchar,TRUE,2000,STRING,4,,,,,,
CRMDUMMY,public,activity,activity,customer_id,Column,int8,TRUE,19,INTEGER,1,,,,,public.customer.customer_id,
CRMDUMMY,public,address,address,address_id,Column,int8,FALSE,19,INTEGER,2,TRUE,,,,,
CRMDUMMY,public,address,address,city,Column,varchar,TRUE,200,STRING,5,,,,,,
CRMDUMMY,public,address,address,country,Column,varchar,TRUE,200,STRING,8,,,,,,
CRMDUMMY,public,address,address,customer_id,Column,int8,TRUE,19,INTEGER,1,,,,,public.customer.customer_id,
CRMDUMMY,public,address,address,state,Column,varchar,TRUE,200,STRING,7,,,,,,
CRMDUMMY,public,address,address,street_address_1,Column,varchar,TRUE,200,STRING,3,,,,,,
CRMDUMMY,public,address,address,street_address_2,Column,varchar,TRUE,200,STRING,4,,,,,,
CRMDUMMY,public,address,address,zip,Column,varchar,TRUE,200,STRING,6,,,,,,
CRMDUMMY,public,case_note,case_note,case_id,Column,int8,TRUE,19,INTEGER,1,,,,,public.cases.case_id,
CRMDUMMY,public,case_note,case_note,note_date,Column,timestamp,TRUE,29,DATETIME,3,,,,,,
CRMDUMMY,public,case_note,case_note,note_id,Column,int8,FALSE,19,INTEGER,2,TRUE,,,,,
CRMDUMMY,public,case_note,case_note,note_text,Column,varchar,TRUE,3000,STRING,4,,,,,,
CRMDUMMY,public,cases,cases,activity_id,Column,int8,TRUE,19,INTEGER,1,,,,,public.activity.activity_id,
CRMDUMMY,public,cases,cases,case_date,Column,timestamp,TRUE,29,DATETIME,3,,,,,,
CRMDUMMY,public,cases,cases,case_id,Column,int8,FALSE,19,INTEGER,2,TRUE,,,,,
CRMDUMMY,public,cases,cases,case_type,Column,varchar,TRUE,200,STRING,4,,,,,,
CRMDUMMY,public,cases,cases,status,Column,varchar,TRUE,200,STRING,5,,,,,,
CRMDUMMY,public,contract,contract,associated_line,Column,varchar,TRUE,200,STRING,4,,,,,,
CRMDUMMY,public,contract,contract,associated_line_fmt,Column,varchar,TRUE,200,STRING,8,,,,,,
CRMDUMMY,public,contract,contract,contract_description,Column,varchar,TRUE,200,STRING,5,,,,,,
CRMDUMMY,public,contract,contract,contract_id,Column,int8,FALSE,19,INTEGER,2,TRUE,,,,,
CRMDUMMY,public,contract,contract,contract_ref_id,Column,int8,TRUE,19,INTEGER,3,,,,,,
CRMDUMMY,public,contract,contract,customer_id,Column,int8,TRUE,19,INTEGER,1,,,,,public.customer.customer_id,
CRMDUMMY,public,contract,contract,from_date,Column,timestamp,TRUE,29,DATETIME,6,,,,,,
CRMDUMMY,public,contract,contract,to_date,Column,timestamp,TRUE,29,DATETIME,7,,,,,,
CRMDUMMY,public,customer,customer,customer_id,Column,int8,FALSE,19,INTEGER,1,TRUE,,,,,
CRMDUMMY,public,customer,customer,first_name,Column,varchar,TRUE,200,STRING,3,,,,,,
CRMDUMMY,public,customer,customer,last_name,Column,varchar,TRUE,200,STRING,4,,,,,,
CRMDUMMY,public,customer,customer,ssn,Column,varchar,TRUE,20,STRING,2,,,,,,
