dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,pk,pii,classification,sqlDataType,columnSize,definedBy,ordinalPosition,idx,V3
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,BACS_TRANSACTION_CODE,Column,VARCHAR,true,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,BATCH_ID,Column,INTEGER,true,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,COLLECTION_AMOUNT,Column,DECIMAL,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,COLLECTION_CREATED_DATE,Column,DATE,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,COLLECTION_EXTRACT_DATE,Column,DATE,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,COLLECTION_ID,Column,UNIQUEID,false,true,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,COLLECTION_STATUS,Column,VARCHAR,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,CUSTOMER_MANDATE_REFERENCE,Column,VARCHAR,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,INSTRUCTION_ID,Column,INTEGER,true,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,INSTRUCTION_TYPE,Column,VARCHAR,true,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,LOAN_ACCOUNT_NUMBER,Column,VARCHAR,false,false,true,ACCOUNT_NUMBER,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,LOAN_ACCOUNT_SORT_CODE,Column,VARCHAR,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,LOAN_ACCOUNT_SUFFIX,Column,VARCHAR,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,MANDATE_ID,Column,INTEGER,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,NARRATIVE,Column,VARCHAR,true,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,PAYMENT_DATE,Column,DATE,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,SENDING_ACCOUNT_NAME,Column,VARCHAR,true,false,true,ACCOUNT_NAME,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,SENDING_ACCOUNT_NUMBER,Column,VARCHAR,true,false,true,ACCOUNT_NUMBER,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,SENDING_SORT_CODE,Column,VARCHAR,true,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_mandate_cross_reference,payment_dd_mandate_cross_reference,CONTACT_ID,Column,INTEGER,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_mandate_cross_reference,payment_dd_mandate_cross_reference,CUSTOMER_MANDATE_REFERENCE,Column,VARCHAR,true,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_mandate_cross_reference,payment_dd_mandate_cross_reference,LOAN_ACCOUNT_NUMBER,Column,VARCHAR,false,false,true,ACCOUNT_NUMBER,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_mandate_cross_reference,payment_dd_mandate_cross_reference,LOAN_ACCOUNT_SORT_CODE,Column,VARCHAR,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_mandate_cross_reference,payment_dd_mandate_cross_reference,LOAN_ACCOUNT_SUFFIX,Column,VARCHAR,false,false,,,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_mandate_cross_reference,payment_dd_mandate_cross_reference,MANDATE_ID,Column,INTEGER,false,true,,,,,,,,
