dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,columnSize,definedBy,ordinalPosition,pk,V1
CRMDUMMY,public,activity,activity,activity_date,Column,timestamp,true,29,DATETIME,3,,
CRMDUMMY,public,activity,activity,activity_id,Column,int8,false,19,INTEGER,2,true,
CRMDUMMY,public,activity,activity,activity_note,Column,varchar,true,2000,STRING,4,,
CRMDUMMY,public,activity,activity,customer_id,Column,int8,true,19,INTEGER,1,,
CRMDUMMY,public,address,address,address_id,Column,int8,false,19,INTEGER,2,true,
CRMDUMMY,public,address,address,city,Column,varchar,true,200,STRING,5,,
CRMDUMMY,public,address,address,country,Column,varchar,true,200,STRING,8,,
CRMDUMMY,public,address,address,customer_id,Column,int8,true,19,INTEGER,1,,
CRMDUMMY,public,address,address,state,Column,varchar,true,200,STRING,7,,
CRMDUMMY,public,address,address,street_address_1,Column,varchar,true,200,STRING,3,,
CRMDUMMY,public,address,address,street_address_2,Column,varchar,true,200,STRING,4,,
CRMDUMMY,public,address,address,zip,Column,varchar,true,200,STRING,6,,
CRMDUMMY,public,case_note,case_note,case_id,Column,int8,true,19,INTEGER,1,,
CRMDUMMY,public,case_note,case_note,note_date,Column,timestamp,true,29,DATETIME,3,,
CRMDUMMY,public,case_note,case_note,note_id,Column,int8,false,19,INTEGER,2,true,
CRMDUMMY,public,case_note,case_note,note_text,Column,varchar,true,3000,STRING,4,,
CRMDUMMY,public,cases,cases,activity_id,Column,int8,true,19,INTEGER,1,,
CRMDUMMY,public,cases,cases,case_date,Column,timestamp,true,29,DATETIME,3,,
CRMDUMMY,public,cases,cases,case_id,Column,int8,false,19,INTEGER,2,true,
CRMDUMMY,public,cases,cases,case_type,Column,varchar,true,200,STRING,4,,
CRMDUMMY,public,cases,cases,status,Column,varchar,true,200,STRING,5,,
CRMDUMMY,public,contract,contract,associated_line,Column,varchar,true,200,STRING,4,,
CRMDUMMY,public,contract,contract,associated_line_fmt,Column,varchar,true,200,STRING,8,,
CRMDUMMY,public,contract,contract,contract_description,Column,varchar,true,200,STRING,5,,
CRMDUMMY,public,contract,contract,contract_id,Column,int8,false,19,INTEGER,2,true,
CRMDUMMY,public,contract,contract,contract_ref_id,Column,int8,true,19,INTEGER,3,,
CRMDUMMY,public,contract,contract,customer_id,Column,int8,true,19,INTEGER,1,,
CRMDUMMY,public,contract,contract,from_date,Column,timestamp,true,29,DATETIME,6,,
CRMDUMMY,public,contract,contract,to_date,Column,timestamp,true,29,DATETIME,7,,
CRMDUMMY,public,customer,customer,customer_id,Column,int8,false,19,INTEGER,1,true,
CRMDUMMY,public,customer,customer,first_name,Column,varchar,true,200,STRING,3,,
CRMDUMMY,public,customer,customer,last_name,Column,varchar,true,200,STRING,4,,
CRMDUMMY,public,customer,customer,ssn,Column,varchar,true,20,STRING,2,,
