dataPlatform,schema,dataset,class,field,sqlDataType,sourceNullable,definedBy,ordinalPosition,sourceEntityType,sourceDataType,pk,pii,classification,V1
MongoDB,admin,system.users,CredentialsClass,SCRAM-SHA-1,12,TRUE,CredentialsClass;Scram-sha-1Class,0,,,,,,
MongoDB,admin,system.users,CredentialsClass,SCRAM-SHA-256,12,TRUE,CredentialsClass;Scram-sha-256Class,1,,,,,,
MongoDB,admin,system.users,CredentialsClass;Scram-sha-1Class,iterationCount,4,TRUE,INTEGER,0,,,,,,
MongoDB,admin,system.users,CredentialsClass;Scram-sha-1Class,salt,12,TRUE,STRING,1,,,,,,
MongoDB,admin,system.users,CredentialsClass;Scram-sha-1Class,serverKey,12,TRUE,STRING,3,,,,,,
MongoDB,admin,system.users,CredentialsClass;Scram-sha-1Class,storedKey,12,TRUE,STRING,2,,,,,,
MongoDB,admin,system.users,CredentialsClass;Scram-sha-256Class,iterationCount,4,TRUE,INTEGER,0,,,,,,
MongoDB,admin,system.users,CredentialsClass;Scram-sha-256Class,salt,12,TRUE,STRING,1,,,,,,
MongoDB,admin,system.users,CredentialsClass;Scram-sha-256Class,serverKey,12,TRUE,STRING,3,,,,,,
MongoDB,admin,system.users,CredentialsClass;Scram-sha-256Class,storedKey,12,TRUE,STRING,2,,,,,,
MongoDB,admin,system.users,RolesClass,db,12,TRUE,STRING,1,,,,,,
MongoDB,admin,system.users,RolesClass,role,12,TRUE,STRING,0,,,,,,
MongoDB,admin,system.users,system.users,_id,12,TRUE,UNKNOWN,0,Column,any,true,,,
MongoDB,admin,system.users,system.users,credentials,12,TRUE,CredentialsClass,4,Column,object,,true,AUTHENTICATION_CREDENTIALS ,
MongoDB,admin,system.users,system.users,db,12,TRUE,STRING,3,Column,string,,,,
MongoDB,admin,system.users,system.users,roles,12,TRUE,Collection(RolesClass),5,Column,array,,,,
MongoDB,admin,system.users,system.users,user,12,TRUE,STRING,2,Column,string,,true,USERNAME,
MongoDB,admin,system.users,system.users,userId,2004,TRUE,BYTES,1,Column,blob,,,,
MongoDB,admin,system.version,system.version,_id,12,TRUE,UNKNOWN,0,Column,any,true,,,
MongoDB,admin,system.version,system.version,currentVersion,4,TRUE,INTEGER,2,Column,integer,,,,
MongoDB,admin,system.version,system.version,version,12,TRUE,STRING,1,Column,string,,,,
