dataPlatform,schema,dataset,class,field,sqlDataType,sourceNullable,definedBy,ordinalPosition,sourceEntityType,sourceDataType,pk,pii,classification,V1
MongoDB,local,startup_log,BuildinfoClass,allocator,12,TRUE,STRING,3,,,,,,
MongoDB,local,startup_log,BuildinfoClass,bits,4,TRUE,INTEGER,9,,,,,,
MongoDB,local,startup_log,BuildinfoClass,buildEnvironment,12,TRUE,BuildinfoClass;BuildEnvironmentClass,8,,,,,,
MongoDB,local,startup_log,BuildinfoClass,debug,16,TRUE,BOOLEAN,10,,,,,,
MongoDB,local,startup_log,BuildinfoClass,gitVersion,12,TRUE,STRING,1,,,,,,
MongoDB,local,startup_log,BuildinfoClass,javascriptEngine,12,TRUE,STRING,4,,,,,,
MongoDB,local,startup_log,BuildinfoClass,maxBsonObjectSize,4,TRUE,INTEGER,11,,,,,,
MongoDB,local,startup_log,BuildinfoClass,modules,12,TRUE,Collection(UNKNOWN),2,,,,,,
MongoDB,local,startup_log,BuildinfoClass,openssl,12,TRUE,BuildinfoClass;OpensslClass,7,,,,,,
MongoDB,local,startup_log,BuildinfoClass,storageEngines,12,TRUE,Collection(STRING),12,,,,,,
MongoDB,local,startup_log,BuildinfoClass,sysInfo,12,TRUE,STRING,5,,,,,,
MongoDB,local,startup_log,BuildinfoClass,version,12,TRUE,STRING,0,,,,,,
MongoDB,local,startup_log,BuildinfoClass,versionArray,12,TRUE,Collection(INTEGER),6,,,,,,
MongoDB,local,startup_log,BuildinfoClass;BuildEnvironmentClass,cc,12,TRUE,STRING,2,,,,true,CREDIT_CARD,
MongoDB,local,startup_log,BuildinfoClass;BuildEnvironmentClass,ccflags,12,TRUE,STRING,3,,,,,,
MongoDB,local,startup_log,BuildinfoClass;BuildEnvironmentClass,cppdefines,12,TRUE,STRING,9,,,,,,
MongoDB,local,startup_log,BuildinfoClass;BuildEnvironmentClass,cxx,12,TRUE,STRING,4,,,,,,
MongoDB,local,startup_log,BuildinfoClass;BuildEnvironmentClass,cxxflags,12,TRUE,STRING,5,,,,,,
MongoDB,local,startup_log,BuildinfoClass;BuildEnvironmentClass,distarch,12,TRUE,STRING,1,,,,,,
MongoDB,local,startup_log,BuildinfoClass;BuildEnvironmentClass,distmod,12,TRUE,STRING,0,,,,,,
MongoDB,local,startup_log,BuildinfoClass;BuildEnvironmentClass,linkflags,12,TRUE,STRING,6,,,,,,
MongoDB,local,startup_log,BuildinfoClass;BuildEnvironmentClass,target_arch,12,TRUE,STRING,7,,,,,,
MongoDB,local,startup_log,BuildinfoClass;BuildEnvironmentClass,target_os,12,TRUE,STRING,8,,,,,,
MongoDB,local,startup_log,BuildinfoClass;OpensslClass,compiled,12,TRUE,STRING,1,,,,,,
MongoDB,local,startup_log,BuildinfoClass;OpensslClass,running,12,TRUE,STRING,0,,,,,,
MongoDB,local,startup_log,CmdLineClass,net,12,TRUE,CmdLineClass;NetClass,0,,,,,,
MongoDB,local,startup_log,CmdLineClass,processManagement,12,TRUE,CmdLineClass;ProcessManagementClass,1,,,,,,
MongoDB,local,startup_log,CmdLineClass,security,12,TRUE,CmdLineClass;SecurityClass,3,,,,,,
MongoDB,local,startup_log,CmdLineClass,systemLog,12,TRUE,CmdLineClass;SystemLogClass,2,,,,,,
MongoDB,local,startup_log,CmdLineClass;NetClass,bindIp,12,TRUE,STRING,0,,,,true,IP_ADDRESS,
MongoDB,local,startup_log,CmdLineClass;NetClass,port,4,TRUE,INTEGER,1,,,,,,
MongoDB,local,startup_log,CmdLineClass;NetClass,tls,12,TRUE,CmdLineClass;NetClass;TlsClass,2,,,,,,
MongoDB,local,startup_log,CmdLineClass;NetClass;TlsClass,mode,12,TRUE,STRING,0,,,,,,
MongoDB,local,startup_log,CmdLineClass;ProcessManagementClass,fork,16,TRUE,BOOLEAN,0,,,,,,
MongoDB,local,startup_log,CmdLineClass;ProcessManagementClass,pidFilePath,12,TRUE,STRING,1,,,,,,
MongoDB,local,startup_log,CmdLineClass;SecurityClass,authorization,12,TRUE,STRING,0,,,,true,AUTHENTICATION_CREDENTIALS ,
MongoDB,local,startup_log,CmdLineClass;SystemLogClass,destination,12,TRUE,STRING,0,,,,,,
MongoDB,local,startup_log,CmdLineClass;SystemLogClass,logAppend,16,TRUE,BOOLEAN,1,,,,,,
MongoDB,local,startup_log,CmdLineClass;SystemLogClass,path,12,TRUE,STRING,2,,,,,,
MongoDB,local,startup_log,startup_log,_id,12,TRUE,UNKNOWN,0,Column,any,true,,,
MongoDB,local,startup_log,startup_log,buildinfo,12,TRUE,BuildinfoClass,6,Column,object,,true,,
MongoDB,local,startup_log,startup_log,cmdLine,12,TRUE,CmdLineClass,4,Column,object,,true,,
MongoDB,local,startup_log,startup_log,hostname,12,TRUE,STRING,1,Column,string,,true,NAME,
MongoDB,local,startup_log,startup_log,pid,4,TRUE,INTEGER,5,Column,integer,,,,
MongoDB,local,startup_log,startup_log,startTime,93,TRUE,DATETIME,2,Column,date,,,,
MongoDB,local,startup_log,startup_log,startTimeLocal,12,TRUE,STRING,3,Column,string,,,,
MongoDB,local,test,test,_id,12,TRUE,UNKNOWN,0,Column,any,true,,,
MongoDB,local,test,test,name,12,TRUE,STRING,1,Column,string,,true,NAME,
