dataPlatform,schema,dataset,class,field,sqlDataType,sourceDataType,sourceEntityType,sourceNullable,definedBy,description,ordinalPosition,pii,attributeOf,classification,pk,V1
dataverseSource,main,accounts,accounts,accountcategorycode,4,Picklist,Column,TRUE,INTEGER,Select a category to indicate whether the customer account is standard or preferred.,0,,,,,
dataverseSource,main,accounts,accounts,accountcategorycodename,12,Virtual,Column,TRUE,STRING,,1,TRUE,accountcategorycode,NAME,,
dataverseSource,main,accounts,accounts,accountclassificationcode,4,Picklist,Column,TRUE,INTEGER,"Select a classification code to indicate the potential value of the customer account based on the projected return on investment, cooperation level, sales cycle length or other criteria.",2,,,,,
dataverseSource,main,accounts,accounts,accountclassificationcodename,12,Virtual,Column,TRUE,STRING,,3,TRUE,accountclassificationcode,NAME,,
dataverseSource,main,accounts,accounts,accountid,1,Uniqueidentifier,Column,FALSE,STRING,Unique identifier of the account.,4,,,,TRUE,
dataverseSource,main,accounts,accounts,accountnumber,12,String,Column,TRUE,STRING,Type an ID number or code for the account to quickly search and identify the account in system views.,5,,,,,
dataverseSource,main,accounts,accounts,accountratingcode,4,Picklist,Column,TRUE,INTEGER,Select a rating to indicate the value of the customer account.,6,,,,,
dataverseSource,main,accounts,accounts,accountratingcodename,12,Virtual,Column,TRUE,STRING,,7,TRUE,accountratingcode,NAME,,
dataverseSource,main,accounts,accounts,address1_addressid,1,Uniqueidentifier,Column,TRUE,STRING,Unique identifier for address 1.,8,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_addresstypecode,4,Picklist,Column,TRUE,INTEGER,Select the primary address type.,9,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_addresstypecodename,12,Virtual,Column,TRUE,STRING,,10,,address1_addresstypecode,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_city,12,String,Column,TRUE,STRING,Type the city for the primary address.,11,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_composite,12,Memo,Column,TRUE,STRING,Shows the complete primary address.,12,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_country,12,String,Column,TRUE,STRING,Type the country or region for the primary address.,13,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_county,12,String,Column,TRUE,STRING,Type the county for the primary address.,14,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_fax,12,String,Column,TRUE,STRING,Type the fax number associated with the primary address.,15,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_freighttermscode,4,Picklist,Column,TRUE,INTEGER,Select the freight terms for the primary address to make sure shipping orders are processed correctly.,16,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_freighttermscodename,12,Virtual,Column,TRUE,STRING,,17,,address1_freighttermscode,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_latitude,8,Double,Column,TRUE,REAL,Type the latitude value for the primary address for use in mapping and other applications.,18,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_line1,12,String,Column,TRUE,STRING,Type the first line of the primary address.,19,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_line2,12,String,Column,TRUE,STRING,Type the second line of the primary address.,20,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_line3,12,String,Column,TRUE,STRING,Type the third line of the primary address.,21,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_longitude,8,Double,Column,TRUE,REAL,Type the longitude value for the primary address for use in mapping and other applications.,22,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_name,12,String,Column,TRUE,STRING,"Type a descriptive name for the primary address, such as Corporate Headquarters.",23,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_postalcode,12,String,Column,TRUE,STRING,Type the ZIP Code or postal code for the primary address.,24,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_postofficebox,12,String,Column,TRUE,STRING,Type the post office box number of the primary address.,25,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_primarycontactname,12,String,Column,TRUE,STRING,Type the name of the main contact at the account's primary address.,26,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_shippingmethodcode,4,Picklist,Column,TRUE,INTEGER,Select a shipping method for deliveries sent to this address.,27,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_shippingmethodcodename,12,Virtual,Column,TRUE,STRING,,28,,address1_shippingmethodcode,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_stateorprovince,12,String,Column,TRUE,STRING,Type the state or province of the primary address.,29,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_telephone1,12,String,Column,TRUE,STRING,Type the main phone number associated with the primary address.,30,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_telephone2,12,String,Column,TRUE,STRING,Type a second phone number associated with the primary address.,31,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_telephone3,12,String,Column,TRUE,STRING,Type a third phone number associated with the primary address.,32,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_upszone,12,String,Column,TRUE,STRING,"Type the UPS zone of the primary address to make sure shipping charges are calculated correctly and deliveries are made promptly, if shipped by UPS.",33,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address1_utcoffset,12,Integer,Column,TRUE,STRING,"Select the time zone, or UTC offset, for this address so that other people can reference it when they contact someone at this address.",34,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_addressid,1,Uniqueidentifier,Column,TRUE,STRING,Unique identifier for address 2.,35,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_addresstypecode,4,Picklist,Column,TRUE,INTEGER,Select the secondary address type.,36,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_addresstypecodename,12,Virtual,Column,TRUE,STRING,,37,,address2_addresstypecode,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_city,12,String,Column,TRUE,STRING,Type the city for the secondary address.,38,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_composite,12,Memo,Column,TRUE,STRING,Shows the complete secondary address.,39,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_country,12,String,Column,TRUE,STRING,Type the country or region for the secondary address.,40,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_county,12,String,Column,TRUE,STRING,Type the county for the secondary address.,41,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_fax,12,String,Column,TRUE,STRING,Type the fax number associated with the secondary address.,42,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_freighttermscode,4,Picklist,Column,TRUE,INTEGER,Select the freight terms for the secondary address to make sure shipping orders are processed correctly.,43,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_freighttermscodename,12,Virtual,Column,TRUE,STRING,,44,,address2_freighttermscode,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_latitude,8,Double,Column,TRUE,REAL,Type the latitude value for the secondary address for use in mapping and other applications.,45,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_line1,12,String,Column,TRUE,STRING,Type the first line of the secondary address.,46,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_line2,12,String,Column,TRUE,STRING,Type the second line of the secondary address.,47,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_line3,12,String,Column,TRUE,STRING,Type the third line of the secondary address.,48,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_longitude,8,Double,Column,TRUE,REAL,Type the longitude value for the secondary address for use in mapping and other applications.,49,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_name,12,String,Column,TRUE,STRING,"Type a descriptive name for the secondary address, such as Corporate Headquarters.",50,,,ADDRESS,,
dataverseSource,main,accounts,accounts,address2_postalcode,12,String,Column,TRUE,STRING,Type the ZIP Code or postal code for the secondary address.,51,,,ADDRESS,,
