dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,columnSize,definedBy,pk,ordinalPosition,pii,classification,nullPercentage,refersTo,V1
LOGICAL,main,ACTIVITY,ACTIVITY,ACTIVITY_ID,Column,TEXT,TRUE,200,STRING,TRUE,2,,,,,
LOGICAL,main,ACTIVITY,ACTIVITY,CUSTOMER_ID,Column,TEXT,TRUE,200,STRING,TRUE,1,,,,main.CUSTOMER.CUSTOMER_ID,
LOGICAL,main,ACTIVITY_NOTE,ACTIVITY_NOTE,CUST_ID,Column,TEXT,TRUE,200,STRING,TRUE,1,,,,main.ACTIVITY.CUSTOMER_ID,
LOGICAL,main,ACTIVITY_NOTE,ACTIVITY_NOTE,ACTIVITY_ID,Column,TEXT,TRUE,200,STRING,TRUE,2,,,,main.ACTIVITY.ACTIVITY_ID,
LOGICAL,main,ACTIVITY_NOTE,ACTIVITY_NOTE,NOTE_DESC,Column,TEXT,,200,STRING,,3,,NOTE_DESC,,,
LOGICAL,main,CUSTOMER,CUSTOMER,CUSTOMER_ID,Column,NUMERIC,FALSE,10,REAL,TRUE,1,,,,,
LOGICAL,main,CUSTOMER,CUSTOMER,FIRST_NAME,Column,VARCHAR,TRUE,200,STRING,,3,TRUE,FIRST_NAME,,,
LOGICAL,main,CUSTOMER,CUSTOMER,LAST_NAME,Column,VARCHAR,TRUE,200,STRING,,4,TRUE,LAST_NAME,,,
LOGICAL,main,CUSTOMER,CUSTOMER,SSN,Column,VARCHAR,TRUE,20,STRING,,2,TRUE,,,,
LOGICAL,public,ADDRESS,ADDRESS,ADDRESS_ID,Column,NUMERIC,FALSE,20,REAL,TRUE,2,TRUE,ADDRESS,,,
LOGICAL,public,ADDRESS,ADDRESS,CITY,Column,VARCHAR,TRUE,200,STRING,,3,TRUE,CITY,,,
LOGICAL,public,ADDRESS,ADDRESS,CUSTOMER_ID,Column,NUMERIC,TRUE,20,REAL,,1,,,,,
LOGICAL,public,ADDRESS,ADDRESS,STATE,Column,VARCHAR,TRUE,200,STRING,,4,TRUE,STATE,,,
,,,,,,,,,,,,,,,,
