dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,columnSize,definedBy,pk,ordinalPosition,pii,classification,nullPercentage,refersTo,V1
LBSDummyC,Customer TS2-PP1,account,lbs_account,ACCOUNT_ID,Column,VARBINARY/BLOB,FALSE,10,,TRUE,,,,,,
LBSDummyC,Customer TS2-PP1,account,lbs_account,FULL_ACCOUNT_NUMBER,Column,VARCHAR,TRUE,10,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,account,lbs_account,OWNER_ID,Column,UNIQUEID,FALSE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,account,lbs_account,NAME,Column,VARCHAR,FALSE,100,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,account,lbs_account,CREATED_BY,Column,UNIQUEID,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,account,lbs_account,CREATED_ON,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,account,lbs_account,MODIFIED_ON,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,account,lbs_account,RECORD_STATUS_CODE,Column,INTEGER,FALSE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,account,lbs_account,RECORD_UPDATE_REASON_CODE,Column,INTEGER,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,account,lbs_account,MODIFIED_BY,Column,UNIQUEID,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,account,lbs_account,SAVING_ACCOUNT_DETAIL_APP_ID_HOLDER,Column,VARCHAR,TRUE,100,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,address,lbs_address,OWNER_ID,Column,UNIQUEID,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,address,lbs_address,OVERSEAS_ADDRESS_LINE3,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,address,lbs_address,BFPO_ADDRESS_UNIT,Column,NVARCHAR,TRUE,50,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,address,lbs_address,CREATED_BY,Column,UNIQUEID,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,address,lbs_address,MODIFIED_BY,Column,UNIQUEID,TRUE,,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,address,lbs_address,BFPO_ADDRESS_CARE_OF_SURNAME,Column,NVARCHAR,TRUE,60,,FALSE,,,,,,
LBSDummyC,Customer TS2-PP1,address,lbs_address,UK_ADDRESS_COUNTY,Column,NVARCHAR,TRUE,30,,FALSE,,,,,,
