dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,columnSize,definedBy,pk,ordinalPosition,pii,classification,nullPercentage,refersTo,V1
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,COLLECTION_ID,Column,UNIQUEID,FALSE,,,TRUE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,COLLECTION_STATUS,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,COLLECTION_EXTRACT_DATE,Column,DATE,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,COLLECTION_CREATED_DATE,Column,DATE,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,PAYMENT_DATE,Column,DATE,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,COLLECTION_AMOUNT,Column,DECIMAL,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,LOAN_ACCOUNT_SORT_CODE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,LOAN_ACCOUNT_NUMBER,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,LOAN_ACCOUNT_SUFFIX,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,MANDATE_ID,Column,INTEGER,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,CUSTOMER_MANDATE_REFERENCE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,INSTRUCTION_ID,Column,INTEGER,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,INSTRUCTION_TYPE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,BACS_TRANSACTION_CODE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,BATCH_ID,Column,INTEGER,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,SENDING_SORT_CODE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,SENDING_ACCOUNT_NUMBER,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,SENDING_ACCOUNT_NAME,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_collections_transient_store,payment_dd_collections_transient_store,NARRATIVE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_mandate_cross_reference,payment_dd_mandate_cross_reference,MANDATE_ID,Column,INTEGER,FALSE,,,TRUE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_mandate_cross_reference,payment_dd_mandate_cross_reference,LOAN_ACCOUNT_SORT_CODE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_mandate_cross_reference,payment_dd_mandate_cross_reference,LOAN_ACCOUNT_NUMBER,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_mandate_cross_reference,payment_dd_mandate_cross_reference,LOAN_ACCOUNT_SUFFIX,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_mandate_cross_reference,payment_dd_mandate_cross_reference,MANDATE_STATUS,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_mandate_cross_reference,payment_dd_mandate_cross_reference,CONTACT_ID,Column,INTEGER,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_dd_mandate_cross_reference,payment_dd_mandate_cross_reference,CUSTOMER_MANDATE_REFERENCE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_gl_journal,payment_gl_journal,ID,Column,UNIQUEID,FALSE,,,TRUE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_gl_journal,payment_gl_journal,JOURNAL_CREDIT_ACCOUNT,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_gl_journal,payment_gl_journal,JOURNAL_DEBIT_ACCOUNT,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_gl_journal,payment_gl_journal,JOURNAL_ACCOUNTING_STRING,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_gl_journal,payment_gl_journal,JOURNAL_TYPE_ID,Column,UNIQUEID,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_gl_journal_type,payment_gl_journal_type,JOURNAL_TYPE_ID,Column,UNIQUEID,FALSE,,,TRUE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_gl_journal_type,payment_gl_journal_type,JOURNAL_TYPE_CODE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_gl_journal_type,payment_gl_journal_type,JOURNAL_TYPE_DESC,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,AGENCY_TRANSACTION_IDENTIFICATION,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,TRANSACTION_TYPE_CODE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,PAYMENT_FILE_NARRATIVE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,CREDITOR_ACCOUNT_NUMBER,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,PURPOSE_CATEGORY,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,CLEARING_SYSTEM_REFERENCE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,DEBTOR_ACCOUNT_NUMBER,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,NUMBER_OF_TRANSACTIONS,Column,INTEGER,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,CREDITOR_ACCOUNT_SORT_CODE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,VALUE_DATE,Column,DATE,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,TRANSACTION_BATCH_ID,Column,UNIQUEID,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,SCHEME_MESSAGE_IDENTIFICATION,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,DEBTOR_ADDRESS,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,ID,Column,UNIQUEID,FALSE,,,TRUE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,TRANSACTION_CURRENCY,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,DEBTOR_ACCOUNT_NAME,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,TRANSACTION_CREATIONTIME,Column,DATETIMEOFFSET,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,DEBTOR_CLEARING_AGENT_CODE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,CREDITOR_ACCOUNT_TYPE_CODE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,REMITTANCE_INFORMATION,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,TRANSACTION_STATUS_CODE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,CREDITOR_CLEARING_AGENT_CODE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,CREDITOR_ADDRESS,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,SETTLEMENT_METHOD,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,DEBTOR_ACCOUNT_SORT_CODE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,TRANSACTION_AMOUNT,Column,DECIMAL,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,CREDITOR_ACCOUNT_NAME,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,PAYMENT_TRANSACTION_COST_CENTRE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,TRANSACTION_IDEMPOTENCY_KEY,Column,UNIQUEID,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,REGULATORY_REPORTING,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction,payment_transaction,CUSTOMER_TRANSACTION_REFERENCE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_activity,payment_transaction_activity,ACTIVITY_CODE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_activity,payment_transaction_activity,CREATED_BY,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_activity,payment_transaction_activity,ID,Column,UNIQUEID,FALSE,,,TRUE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_activity,payment_transaction_activity,MESSAGE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_activity,payment_transaction_activity,TRANSACTION_STATUS,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_activity,payment_transaction_activity,CREATED_AT,Column,DATETIMEOFFSET,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_activity,payment_transaction_activity,TRANSACTION_ID,Column,UNIQUEID,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_activity_type,payment_transaction_activity_type,ACTIVITY_DESCRIPTION,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_activity_type,payment_transaction_activity_type,ACTIVITY_CODE,Column,VARCHAR,FALSE,,,TRUE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,RECEIVED_TIME,Column,DATETIMEOFFSET,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,BATCH_IDEMPOTENCY_KEY,Column,UNIQUEID,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,TOTAL_TRANSACTION_VALUE,Column,DECIMAL,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,ID,Column,UNIQUEID,FALSE,,,TRUE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,TRANSACTION_BATCH_STATUS_CODE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,TOTAL_TRANSACTION_COUNT,Column,INTEGER,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,PAYMENT_FILE_COST_CENTRE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,PAYMENT_FILE_NARRATIVE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,FILE_NAME,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,FILE_ID,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,FILE_HASH,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch,payment_transaction_batch,FILE_PROCESSING_DATE,Column,DATE,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch_status,payment_transaction_batch_status,TRANSACTION_BATCH_STATUS_CODE,Column,VARCHAR,FALSE,,,TRUE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_batch_status,payment_transaction_batch_status,TRANSACTION_BATCH_STATUS_DESC,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,ID,Column,UNIQUEID,FALSE,,,TRUE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,ENDED_BY,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,ROUTING_TYPE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,CREDITOR_ACCOUNT_NUMBER,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,CREDITOR_GL_ACCOUNT,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,ENDED_AT,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,CREATED_AT,Column,DATETIME,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,CREATED_BY,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing,payment_transaction_routing,TRANSACTION_ID,Column,UNIQUEID,TRUE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing_type,payment_transaction_routing_type,ROUTING_TYPE_DESCRIPTION,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_routing_type,payment_transaction_routing_type,ROUTING_TYPE_CODE,Column,VARCHAR,FALSE,,,TRUE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_status,payment_transaction_status,TRANSACTION_STATUS_DESC,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_status,payment_transaction_status,TRANSACTION_STATUS_CODE,Column,VARCHAR,FALSE,,,TRUE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_type,payment_transaction_type,TRANSACTION_TYPE_CODE,Column,VARCHAR,FALSE,,,TRUE,,,,,,
LBSDummyP,Payments TS2-PP1,payment_transaction_type,payment_transaction_type,TRANSACTION_TYPE_DESC,Column,VARCHAR,FALSE,,,FALSE,,,,,,
