dataPlatform,schema,dataset,class,field,sourceEntityType,sourceDataType,sourceNullable,columnSize,definedBy,pk,ordinalPosition,pii,classification,nullPercentage,refersTo,V1
LBSDummyS,Savings TS2-PP1,base_account_number,base_account_number,VALUE,Column,INTEGER,FALSE,,,TRUE,,,,,,
LBSDummyS,Savings TS2-PP1,base_account_number,base_account_number,CREATED_AT,Column,DATETIMEOFFSET,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,base_account_number,base_account_number,CREATED_BY,Column,NVARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,block_fund,block_fund,LAST_MODIFIED_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,block_fund,block_fund,SEIZED_AMOUNT,Column,DECIMAL,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,block_fund,block_fund,NOTES,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,block_fund,block_fund,AMOUNT,Column,DECIMAL,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,block_fund,block_fund,CREATION_DATE,Column,DATETIME,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,block_fund,block_fund,ENCODED_KEY,Column,VARCHAR,FALSE,,,TRUE,,,,,,
LBSDummyS,Savings TS2-PP1,block_fund,block_fund,ACCOUNT_KEY,Column,VARCHAR,FALSE,,,TRUE,,,,,,
LBSDummyS,Savings TS2-PP1,block_fund,block_fund,EXTERNAL_REFERENCE_ID,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,block_fund,block_fund,STATE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_account,general_ledger_account,GL_CODE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_account,general_ledger_account,DESCRIPTION,Column,mediumtext,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_account,general_ledger_account,ENCODED_KEY,Column,VARCHAR,FALSE,,,TRUE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_account,general_ledger_account,ALLOW_MANUAL_JOURNAL_ENTRIES,Column,BIT,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_account,general_ledger_account,TYPE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_account,general_ledger_account,SYSTEM_OF_RECORD_USAGE_DETAIL_OR_HEADER,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_account,general_ledger_account,LAST_MODIFIED_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_account,general_ledger_account,CREATION_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_account,general_ledger_account,ACTIVATED,Column,BIT,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_account,general_ledger_account,NAME,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_account,general_ledger_account,MIGRATION_EVENT_KEY,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_account,general_ledger_account,STRIP_TRAILING_ZEROS,Column,BIT,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_account,general_ledger_account,CURRENCY_CODE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_journal_entry,general_ledger_journal_entry,NOTES,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_journal_entry,general_ledger_journal_entry,PRODUCT_TYPE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_journal_entry,general_ledger_journal_entry,ACCOUNT_KEY,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_journal_entry,general_ledger_journal_entry,ASSIGNED_BRANCH_KEY,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_journal_entry,general_ledger_journal_entry,ENCODED_KEY,Column,VARCHAR,FALSE,,,TRUE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_journal_entry,general_ledger_journal_entry,ENTRYID,Column,BIGINT,FALSE,,,TRUE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_journal_entry,general_ledger_journal_entry,CREATION_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_journal_entry,general_ledger_journal_entry,TYPE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_journal_entry,general_ledger_journal_entry,TRANSACTION_ID,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_journal_entry,general_ledger_journal_entry,USER_KEY,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_journal_entry,general_ledger_journal_entry,ENTRY_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_journal_entry,general_ledger_journal_entry,AMOUNT,Column,DECIMAL,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_journal_entry,general_ledger_journal_entry,GLACCOUNT_ENCODEDKEY_OID,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,general_ledger_journal_entry,general_ledger_journal_entry,PRODUCT_KEY,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,interest_account_settings,interest_account_settings,INTEREST_SPREAD,Column,DECIMAL,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,interest_account_settings,interest_account_settings,INTEREST_RATE,Column,DECIMAL,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,interest_account_settings,interest_account_settings,ENCODED_KEY,Column,VARCHAR,FALSE,,,TRUE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,CREATED_BY,Column,NVARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,DEPOSITS_ACCEPTED_UNTIL,Column,DATETIMEOFFSET,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,FIXED_TERM_END,Column,DATETIMEOFFSET,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,LAUNCH,Column,DATETIMEOFFSET,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,WITHDRAW,Column,DATETIMEOFFSET,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,CREATED_AT,Column,DATETIMEOFFSET,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,SYSTEM_OF_RECORD_PRODUCT_TEMPLATE_ID,Column,NVARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,TYPE,Column,TINYINT,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,MAX_BALANCE,Column,MONEY,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,ID,Column,NVARCHAR,FALSE,,,TRUE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,ENCODED_KEY,Column,VARCHAR,FALSE,,,TRUE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,INTEREST_GROSS_FIXED_RATE,Column,DECIMAL,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,INTEREST_TYPE,Column,TINYINT,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,SYSTEM_OF_RECORD_PRODUCT_TEMPLATE_KEY,Column,NVARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,NAME,Column,NVARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,UPDATED_AT,Column,DATETIMEOFFSET,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,MIN_BALANCE,Column,MONEY,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,product_catalogue,product_catalogue,UPDATED_BY,Column,NVARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,PRODUCT_ID_1,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,LAST_OVERDRAFT_INTEREST_REVIEW_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,OVERDRAFT_INTEREST_ACCRUED,Column,DECIMAL,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,WITHHOLDING_TAX_SOURCE_KEY,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,TARGET_AMOUNT,Column,DECIMAL,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,TECHNICAL_OVERDRAFT_INTEREST_ACCRUED,Column,DECIMAL,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,CURRENCY_CODE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,OVERDRAFT_AMOUNT,Column,DECIMAL,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,LAST_ACCOUNT_APPRAISAL_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,LINE_OF_CREDIT_KEY,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,OVERDRAFT_EXPIRY_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,OVERDRAFT_LIMIT,Column,DECIMAL,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,ACCOUNT_STATE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,LAST_INTEREST_STORED_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,NEGATIVE_INTEREST_ACCRUED,Column,DECIMAL,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,FEES_DUE,Column,DECIMAL,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,LAST_INTEREST_REVIEW_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,HOLD_BALANCE,Column,DECIMAL,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,NOTES,Column,mediumtext,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,TECHNICAL_OVERDRAFT_AMOUNT,Column,DECIMAL,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,SORT_CODE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,LAST_MODIFIED_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,INTEREST_PAYMENT_POINT,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,APPLICATION_COST_CENTRE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,LAST_INTEREST_CALCULATION_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,NAME,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,ASSIGNED_USER_KEY,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,BLOCKED_BALANCE,Column,DECIMAL,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,APPROVED_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,ID,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,ACCOUNT_HOLDER_KEY,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,ACCRUED_INTEREST,Column,DECIMAL,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,ACCOUNT_TYPE,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,RECOMMENDED_DEPOSIT_AMOUNT,Column,DECIMAL,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,LOCKED_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,OVERDRAFTINTERESTSETTINGSKEY,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,MAX_DEPOSIT_BALANCE,Column,DECIMAL,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,MATURITY_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,BALANCE,Column,DECIMAL,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,SORTCODE_AND_ACCOUNT_NUMBER,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,INTEREST_PAYMENT_DATES,Column,mediumblob,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,MAX_WIDTHDRAWAL_AMOUNT,Column,DECIMAL,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,ACCOUNT_SUFFIX,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,INTERESTSETTINGSKEY,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,ACCOUNT_NUMBER_AND_ACCOUNT_SUFFIX,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,CREATION_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,PRODUCT_TYPE_KEY,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,ASSIGNED_CENTRE_KEY,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,FORWARD_AVAILABLE_BALANCE,Column,DECIMAL,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,ENCODEDKEY,Column,VARCHAR,FALSE,,,TRUE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,LOCKED_BALANCE,Column,DECIMAL,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,ALLOW_OVERDRAFT,Column,BIT,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,ACCOUNT_HOLDER_TYPE,Column,VARCHAR,FALSE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,ACTIVATION_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,LAST_SET_TO_ARREARS_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,INTEREST_DUE,Column,DECIMAL,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,ASSIGNED_BRANCH_KEY,Column,VARCHAR,TRUE,,,FALSE,,,,,,
LBSDummyS,Savings TS2-PP1,savings_account,savings_account,CLOSED_DATE,Column,DATETIME,TRUE,,,FALSE,,,,,,
