name,pii
"ACCOUNT_NAME",true
"ACCOUNT_NUMBER",true
"ADDRESS",true
"AFFILIATE_ID",true
"AFFILIATE_NAME",true
"AGE",true
"ALIEN_REGISTRATION_NUMBER",true
"ALTERNATIVE_IDENTITY",true
"AUDIO",true
"AUTHENTICATION_CREDENTIALS ",true
"BANK_ACCOUNT",true
"BUSINESS_NAME",true
"CARDHOLDER_NAME",true
"CITY",true
"CREDIT_CARD",true
"CREDIT_SCORE",true
"DATE_OF_BIRTH",true
"DEBIT_CARD",true
"DEPARTMENT",true
"DEVICE_ID",true
"DRIVER_LICENSE",true
"EMAIL",true
"FEDERAL_ISSUED_IDENTIFIER",true
"FINGERPRINTS",true
"FIRST_NAME",true
"FQDN",true
"FULL_NAME",true
"GENDER",true
"HAND_GEOMETRY",true
"HOUSE",true
"IDENTITY",true
"IP_ADDRESS",true
"IRIS_PATTERNS",true
"KEY",true
"LANGUAGE",true
"LAST_NAME",true
"LATITUDE",true
"LICENSE_KEY",true
"LINE",true
"LONGITUDE",true
"LOT",true
"MAC_ADDRESS",true
"MIDDLE_NAME",true
"NAME",true
"NATIONAL_ID",true
"NOTES",true
"OCCUPATION",true
"ORIGIN",true
"OWNER",true
"PASSPORT",true
"PASSWORD",true
"PAYMENT_CODE",true
"PHOTOGRAPHS",true
"PIN",true
"POSTAL_CODE",true
"RACE_ETHNICITY",true
"REGION_ID",true
"RELIGION",true
"RETINA_SCANNING",true
"RISK_SCORE",true
"ROUTING_NUMBER",true
"SERIAL_NUMBER",true
"SIGNATURES",true
"SIP_ADDRESS",true
"SOCIAL_MEDIA",true
"SOCIAL_SECURITY_NUMBER",true
"STATEMENT",true
"STATE_ID",true
"STREET",true
"TAX_ID",true
"TELEPHONE_NUMBER",true
"TSN",true
"USERNAME",true
"VIDEO",true
