case_id,note_id,note_date,note_text
24,66,2016-09-23 08:37:18.000,Travel time to the nearest starbase? The Federation's gone; the Borg is everywhere!
24,67,2015-08-05 10:38:47.000,"I'm afraid I still don't understand, sir. Well, that's certainly good to know."
25,68,2015-01-19 08:54:46.000,"I've had twelve years to think about it. And if I had it to do over again, I would have grabbed the phaser and pointed it at you instead of them."
25,69,2015-10-17 18:13:39.000,"I've had twelve years to think about it. And if I had it to do over again, I would have grabbed the phaser and pointed it at you instead of them."
25,70,2017-01-08 11:36:11.000,"I'm afraid I still don't understand, sir. Well, that's certainly good to know."
25,71,2015-08-04 07:13:26.000,"I suggest you drop it, Mr. Data. Mr. Worf, you sound like a man who's asking his friend if he can start dating his sister."
26,72,2017-01-05 21:41:13.000,"I'm afraid I still don't understand, sir. Well, that's certainly good to know."
26,73,2015-04-29 17:57:18.000,"I've had twelve years to think about it. And if I had it to do over again, I would have grabbed the phaser and pointed it at you instead of them."
26,74,2015-09-04 18:27:10.000,"I suggest you drop it, Mr. Data. Mr. Worf, you sound like a man who's asking his friend if he can start dating his sister."
26,75,2016-09-10 00:50:50.000,"I've had twelve years to think about it. And if I had it to do over again, I would have grabbed the phaser and pointed it at you instead of them."
26,76,2016-12-01 09:36:02.000,"I suggest you drop it, Mr. Data. Mr. Worf, you sound like a man who's asking his friend if he can start dating his sister."
27,77,2016-09-05 01:14:18.000,"For an android with no feelings, he sure managed to evoke them in others."
27,78,2015-10-20 15:24:40.000,"I suggest you drop it, Mr. Data. Mr. Worf, you sound like a man who's asking his friend if he can start dating his sister."
27,79,2015-09-22 16:13:56.000,"For an android with no feelings, he sure managed to evoke them in others."
27,80,2015-02-28 22:14:46.000,"I suggest you drop it, Mr. Data. Mr. Worf, you sound like a man who's asking his friend if he can start dating his sister."
28,81,2016-11-25 20:05:04.000,Travel time to the nearest starbase? The Federation's gone; the Borg is everywhere!
28,82,2015-02-28 15:25:41.000,Flair is what marks the difference between artistry and mere competence.
29,83,2016-06-14 14:25:52.000,I'll alert the crew. When has justice ever been as simple as a rule book?
29,84,2016-05-18 14:15:12.000,"I've had twelve years to think about it. And if I had it to do over again, I would have grabbed the phaser and pointed it at you instead of them."
29,85,2016-10-05 16:40:36.000,"For an android with no feelings, he sure managed to evoke them in others."
29,86,2016-04-06 08:38:38.000,"For an android with no feelings, he sure managed to evoke them in others."
31,87,2015-12-20 07:34:35.000,"I've had twelve years to think about it. And if I had it to do over again, I would have grabbed the phaser and pointed it at you instead of them."
31,88,2016-12-27 22:30:32.000,"I've had twelve years to think about it. And if I had it to do over again, I would have grabbed the phaser and pointed it at you instead of them."
31,89,2016-05-08 22:16:30.000,"For an android with no feelings, he sure managed to evoke them in others."
31,90,2015-06-16 08:54:20.000,"Maybe if we felt any human loss as keenly as we feel one of those close to us, human history would be far less bloody."
31,91,2016-02-06 05:09:03.000,I'll alert the crew. When has justice ever been as simple as a rule book?
32,92,2016-02-13 15:39:33.000,"Maybe if we felt any human loss as keenly as we feel one of those close to us, human history would be far less bloody."
32,93,2016-06-21 21:17:04.000,"I'm afraid I still don't understand, sir. Well, that's certainly good to know."
33,94,2016-08-27 04:50:14.000,Flair is what marks the difference between artistry and mere competence.
33,95,2015-02-19 18:44:29.000,"Fate. It protects fools, little children, and ships named Enterprise."
33,96,2016-01-28 14:03:56.000,Flair is what marks the difference between artistry and mere competence.
33,97,2016-04-08 23:21:48.000,Travel time to the nearest starbase? The Federation's gone; the Borg is everywhere!
33,98,2016-03-19 11:44:04.000,Travel time to the nearest starbase? The Federation's gone; the Borg is everywhere!
34,99,2015-08-31 15:55:36.000,I'll alert the crew. When has justice ever been as simple as a rule book?
34,100,2016-05-05 14:56:32.000,I'll alert the crew. When has justice ever been as simple as a rule book?
35,101,2015-11-19 09:34:00.000,"I suggest you drop it, Mr. Data. Mr. Worf, you sound like a man who's asking his friend if he can start dating his sister."
35,102,2016-09-29 06:48:01.000,"I've had twelve years to think about it. And if I had it to do over again, I would have grabbed the phaser and pointed it at you instead of them."
36,103,2016-03-02 09:05:35.000,"Fate. It protects fools, little children, and ships named Enterprise."
36,104,2015-04-11 09:07:36.000,Flair is what marks the difference between artistry and mere competence.
36,105,2017-01-28 12:23:16.000,"Maybe if we felt any human loss as keenly as we feel one of those close to us, human history would be far less bloody."
36,106,2016-08-15 22:04:00.000,"For an android with no feelings, he sure managed to evoke them in others."
37,107,2015-04-07 04:32:43.000,"I've had twelve years to think about it. And if I had it to do over again, I would have grabbed the phaser and pointed it at you instead of them."
37,108,2016-05-25 06:08:31.000,Travel time to the nearest starbase? The Federation's gone; the Borg is everywhere!
37,109,2016-04-04 07:03:12.000,I'll alert the crew. When has justice ever been as simple as a rule book?
39,110,2016-10-19 02:41:07.000,"I suggest you drop it, Mr. Data. Mr. Worf, you sound like a man who's asking his friend if he can start dating his sister."
39,111,2016-12-10 19:12:37.000,"I suggest you drop it, Mr. Data. Mr. Worf, you sound like a man who's asking his friend if he can start dating his sister."
39,112,2017-01-19 15:33:23.000,I'll alert the crew. When has justice ever been as simple as a rule book?
39,113,2015-03-02 06:04:20.000,"I've had twelve years to think about it. And if I had it to do over again, I would have grabbed the phaser and pointed it at you instead of them."
