activity_id,case_id,case_date,case_type,status
343,176,2015-09-16 06:14:40.000,Billing Issue,Unresolved
345,177,2015-11-04 14:59:09.000,Billing Issue,Open
346,178,2017-01-28 08:16:18.000,Device Issue,Open
348,179,2015-05-16 10:31:39.000,Device Issue,Closed
349,180,2016-07-27 13:50:02.000,Device Issue,Closed
350,181,2016-09-13 09:52:15.000,Billing Issue,Closed
351,182,2016-05-06 19:47:56.000,Device Issue,Unresolved
352,183,2016-05-12 22:25:43.000,Network Issue,Open
358,184,2015-07-17 00:07:53.000,Network Issue,Unresolved
359,185,2015-04-18 20:22:40.000,Billing Issue,Open
360,186,2015-10-02 22:41:10.000,Device Issue,Open
363,187,2015-06-19 01:59:43.000,Device Issue,Open
364,188,2015-05-31 06:54:14.000,Device Issue,Unresolved
365,189,2015-08-12 01:29:22.000,Billing Issue,Unresolved
368,190,2017-01-30 09:14:32.000,Device Issue,Open
369,191,2015-12-04 00:01:10.000,Device Issue,Open
370,192,2015-05-15 16:50:47.000,Device Issue,Closed
372,193,2016-06-06 17:47:20.000,Network Issue,Unresolved
373,194,2015-06-05 23:47:08.000,Network Issue,Closed
375,195,2016-02-24 02:07:56.000,Device Issue,Open
376,196,2016-11-12 03:44:16.000,Billing Issue,Open
381,197,2015-03-22 04:42:07.000,Device Issue,Open
382,198,2016-07-17 11:35:54.000,Device Issue,Closed
385,199,2016-06-28 00:41:58.000,Network Issue,Closed
386,200,2015-02-12 19:40:24.000,Network Issue,Open
389,201,2015-06-18 06:07:50.000,Device Issue,Unresolved
393,202,2016-03-10 21:35:54.000,Device Issue,Unresolved
394,203,2016-05-09 05:49:58.000,Device Issue,Closed
396,204,2016-05-10 14:30:17.000,Network Issue,Open
399,205,2015-05-22 04:22:11.000,Billing Issue,Unresolved
401,206,2015-06-04 22:58:44.000,Device Issue,Unresolved
402,207,2016-05-11 07:44:04.000,Network Issue,Open
404,208,2015-05-13 22:37:43.000,Network Issue,Open
406,209,2015-01-18 20:53:40.000,Device Issue,Open
407,210,2016-10-29 03:15:25.000,Network Issue,Open
408,211,2015-04-12 18:59:40.000,Billing Issue,Unresolved
409,212,2015-01-26 16:27:42.000,Network Issue,Open
410,213,2016-04-10 22:08:04.000,Billing Issue,Closed
411,214,2016-06-04 12:23:11.000,Billing Issue,Closed
416,215,2016-05-23 02:24:42.000,Billing Issue,Unresolved
418,216,2015-06-21 15:37:56.000,Billing Issue,Closed
420,217,2015-05-02 04:47:46.000,Device Issue,Closed
422,218,2016-05-26 12:50:26.000,Device Issue,Open
428,219,2015-04-21 21:39:26.000,Network Issue,Closed
433,220,2015-08-28 07:42:15.000,Billing Issue,Open
436,221,2016-05-16 19:37:57.000,Network Issue,Open
438,222,2016-05-25 09:17:44.000,Network Issue,Open
439,223,2015-11-14 13:04:52.000,Billing Issue,Unresolved
441,224,2015-02-16 09:34:52.000,Billing Issue,Unresolved
447,225,2016-03-13 23:20:54.000,Device Issue,Unresolved
449,226,2017-02-04 22:08:12.000,Billing Issue,Open
451,227,2016-02-08 12:44:30.000,Network Issue,Open
452,228,2015-12-28 05:58:17.000,Billing Issue,Open
457,229,2015-01-15 15:38:05.000,Device Issue,Open
458,230,2016-05-28 09:39:21.000,Device Issue,Unresolved
460,231,2015-09-28 03:14:23.000,Network Issue,Open
461,232,2015-06-19 11:10:03.000,Device Issue,Open
463,233,2015-11-23 23:24:06.000,Network Issue,Unresolved
466,234,2016-02-02 15:23:49.000,Billing Issue,Unresolved
467,235,2015-03-05 09:45:06.000,Network Issue,Unresolved
468,236,2015-03-09 03:14:36.000,Billing Issue,Open
472,237,2016-07-03 16:40:52.000,Network Issue,Closed
475,238,2015-12-18 19:39:26.000,Device Issue,Unresolved
482,239,2016-05-31 00:35:06.000,Network Issue,Unresolved
485,240,2016-04-19 12:14:49.000,Network Issue,Unresolved
488,241,2016-10-18 23:18:32.000,Billing Issue,Closed
489,242,2016-12-17 22:07:58.000,Network Issue,Closed
490,243,2015-07-07 07:43:52.000,Network Issue,Open
494,244,2015-04-16 13:18:42.000,Network Issue,Unresolved
495,245,2015-06-29 11:04:05.000,Billing Issue,Unresolved
501,246,2015-12-23 04:26:07.000,Device Issue,Open
502,247,2016-05-15 16:44:30.000,Network Issue,Open
503,248,2016-10-19 17:37:26.000,Device Issue,Unresolved
505,249,2017-02-01 17:56:29.000,Network Issue,Closed
507,250,2016-07-04 21:44:46.000,Network Issue,Closed
508,251,2016-07-31 17:10:18.000,Device Issue,Open
510,252,2016-08-19 12:06:45.000,Billing Issue,Open
515,253,2016-05-13 20:46:03.000,Network Issue,Closed
518,254,2015-02-03 23:48:58.000,Billing Issue,Closed
519,255,2015-08-17 18:05:46.000,Device Issue,Unresolved
520,256,2015-01-26 21:57:43.000,Device Issue,Open
523,257,2015-04-30 20:20:23.000,Billing Issue,Closed
527,258,2015-09-06 23:10:55.000,Billing Issue,Open
528,259,2015-02-04 02:17:28.000,Billing Issue,Open
530,260,2016-04-17 00:40:28.000,Device Issue,Open
531,261,2016-09-11 11:00:29.000,Device Issue,Unresolved
533,262,2015-04-26 09:28:18.000,Billing Issue,Open
534,263,2015-09-21 17:00:21.000,Billing Issue,Closed
537,264,2015-01-18 11:53:45.000,Device Issue,Open
539,265,2015-06-20 01:29:58.000,Network Issue,Unresolved
541,266,2016-03-13 09:06:36.000,Network Issue,Closed
543,267,2016-10-21 20:25:47.000,Device Issue,Open
549,268,2015-02-26 06:39:23.000,Billing Issue,Closed
550,269,2015-11-06 15:27:32.000,Billing Issue,Unresolved
553,270,2016-11-03 23:48:30.000,Billing Issue,Unresolved
556,271,2016-04-23 11:57:32.000,Device Issue,Closed
