tac,brandmodel,manufacturer,frequencies_band,radiointerface,brandname,modelname,os,chipnfc,chipbluetooth,chipwlan,devicetype,removableuicc,removableeuicc,nonremovableuicc,nonremovableeuicc,deviceatlasid,standardisedfull,standardised_device_model,standardisedmarketing,interlmodel,allocationdate,countrycode,fixedcode,manufacturercode,year_released,mobile_device,hardwaretype,touchscreen,screenwidth,screenheight,diagolscreensize,displayppi,devicepixelratio,screencolordepth,nfc,camera,ismobilephone,istablet,isereader,isgamesconsole,istv,issettupbox,ismediaplayer,chipsetvendor,chipset,chipsetmodel,cpu,cpu_cores,cpu_maximum_frequency,gpu,sim_slots,sim_size,interl_storage_capacity,expandable_storage,total_ram,os_me,os_version,os_android,os_bada,os_ios,os_rim,os_symbian,os_windows_mobile,os_windows_phone,os_windows_rt,os_web_os,browser_me,browser_version,browser_rendering_engine,markup_xhtml_basic_1v0,markup_xhtml_mp_1v0,markup_xhtml_mp_1v1,markup_xhtml_mp_1v2,markup_wml1,vcard_download,image__gif87,image__gif89a,image__jpg,image__png,uri_scheme_tel,uri_scheme_sms,uri_scheme_sms_to,cookie,https,memory_limit_markup,memory_limit_embedded_media,memory_limit_download,flash_capable,js_support_basic_java_script,js_modify_dom,js_modify_css,js_support_events,js_support_event_listener,js_xhr,js_support_console_log,js_json,supports_client_side,csd,hscsd,gprs,edge,hsdpa,umts,hspa,lte,lte_category,lte_advanced,volte,wifi,vowifi,html_audio,html_canvas,html_inline_svg,html_svg,html_video,css_animations,css_columns,css_transforms,css_transitions,js_application_cache,js_geo_location,js_indexeddb,js_local_storage,js_session_storage,js_web_gl,js_web_sockets,js_web_sql_database,js_web_workers,js_device_orientation,js_device_motion,js_touch_events,js_query_selector,wmv,midi_monophonic,midi_polyphonic,amr,mp3,aac
35156209,GALAXY J3 2016 SM-J320F,Samsung Korea,"WCDMA FDD Band I,WCDMA FDD Band V,WCDMA FDD Band VIII,LTE FDD BAND 1,LTE FDD BAND 3,LTE FDD BAND 5,LTE FDD BAND 7,LTE FDD BAND 8,LTE FDD BAND 20,GSM850 (GSM800),GSM 900,GSM 1800,GSM 1900,LTE TDD BAND 40,1 UICC,0 eUICC",NONE,Samsung,SM-J320F,Android,N,Y,Y,Smartphone,1 UICC,0 eUICC,Not Known,Not Known,10853656,Samsung Galaxy J3 Duos,SM-J320F,Galaxy J3 Duos,GALAXY J3 2016 SM-J320F,2017-06-01 00:00:00.000,450,MANU,210005,2016,1,Mobile Phone,1,720,1280,5,293,2,24,0,8,1,0,0,0,0,0,0,Spreadtrum,,SC8830A,Cortex-A7,4,1500,Mali-400 MP2,1,Micro,8,1,1536,Android,5.1.1,1,0,0,0,0,0,0,0,0,Android Browser,,WebKit,1,1,1,1,,1,1,,1,1,1,1,,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,3,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,0,1,1,1,,1,1,,1,1
35156507,Samsung SM-G7102,Samsung Korea,"WCDMA FDD Band I,WCDMA FDD Band II,WCDMA FDD Band V,WCDMA FDD Band VIII,GSM 1800,GSM 1900,GSM 900,GSM850 (GSM800),2 UICC",NONE,Samsung,SM-G7102,Android,N,Y,Y,Smartphone,2 UICC,Not Known,Not Known,Not Known,6190153,Samsung Galaxy Grand 2,SM-G7102,Galaxy Grand 2,Samsung SM-G7102,2015-03-17 00:00:00.000,450,MANU,210005,2013,1,Mobile Phone,1,720,1280,5.25,280,2,24,0,8,1,0,0,0,0,0,0,Qualcomm,Spdragon 400,MSM8226,Cortex-A7,4,1200,Adreno 305,2,Micro,8,1,1536,Android,4.3,1,0,0,0,0,0,0,0,0,Android Browser,,WebKit,1,1,1,1,0,0,1,0,1,1,1,1,,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
35156607,Samsung SM-G7102,Samsung Korea,"GSM 1800,GSM 1900,GSM 900,GSM850 (GSM800),WCDMA FDD Band I,WCDMA FDD Band II,WCDMA FDD Band V,WCDMA FDD Band VIII,2 UICC",NONE,Samsung,SM-G7102,Android,N,Y,Y,Smartphone,2 UICC,Not Known,Not Known,Not Known,6190153,Samsung Galaxy Grand 2,SM-G7102,Galaxy Grand 2,Samsung SM-G7102,2015-03-17 00:00:00.000,450,MANU,210005,2013,1,Mobile Phone,1,720,1280,5.25,280,2,24,0,8,1,0,0,0,0,0,0,Qualcomm,Spdragon 400,MSM8226,Cortex-A7,4,1200,Adreno 305,2,Micro,8,1,1536,Android,4.3,1,0,0,0,0,0,0,0,0,Android Browser,,WebKit,1,1,1,1,0,0,1,0,1,1,1,1,,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
35156907,Samsung SM-J100H/DS,Samsung Korea,"WCDMA FDD Band I,WCDMA FDD Band VIII,GSM 1800,GSM 1900,GSM 900,GSM850 (GSM800),2 UICC",NONE,Samsung,SM-J100H/DS,Android,Y,Y,Y,Smartphone,2 UICC,Not Known,Not Known,Not Known,7940148,Samsung Galaxy J1,SM-J100H,Galaxy J1,Samsung SM-J100H/DS,2015-03-17 00:00:00.000,450,MANU,210005,2015,1,Mobile Phone,1,480,800,4.3,217,1.5,24,0,5,1,0,0,0,0,0,0,MediaTek,,MT6572M,Cortex-A7,2,1200,Mali-400,2,Micro,4,1,512,Android,4.4.4,1,0,0,0,0,0,0,0,0,Android Browser,,WebKit,1,1,1,1,0,0,1,0,1,1,1,1,,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,0,,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,0,1,1,1,1,1,1,1,1,1
35157007,Samsung SM-J100H/DS,Samsung Korea,"WCDMA FDD Band I,WCDMA FDD Band VIII,GSM 1800,GSM 1900,GSM 900,GSM850 (GSM800),2 UICC",NONE,Samsung,SM-J100H/DS,Android,Y,Y,Y,Smartphone,2 UICC,Not Known,Not Known,Not Known,7940148,Samsung Galaxy J1,SM-J100H,Galaxy J1,Samsung SM-J100H/DS,2015-03-17 00:00:00.000,450,MANU,210005,2015,1,Mobile Phone,1,480,800,4.3,217,1.5,24,0,5,1,0,0,0,0,0,0,MediaTek,,MT6572M,Cortex-A7,2,1200,Mali-400,2,Micro,4,1,512,Android,4.4.4,1,0,0,0,0,0,0,0,0,Android Browser,,WebKit,1,1,1,1,0,0,1,0,1,1,1,1,,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,0,,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,0,1,1,1,1,1,1,1,1,1
35159603,E160,HUAWEI Technologies Co Ltd,"GSM 1800,GSM 1900,GSM 900,GSM850 (GSM800),HSDPA,TD-SCDMA,WCDMA FDD Band I,WCDMA FDD Band II,WCDMA FDD Band V","EDGE,GPRS",Not Known,E160,Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,10315121,Huawei E160,E160,,E160,2008-11-21 00:00:00.000,460,MANU,210134,2010,1,Plug-in Modem,0,,,,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35160606,Samsung SM-G900H,Samsung Korea,"WCDMA FDD Band I,WCDMA FDD Band II,WCDMA FDD Band V,WCDMA FDD Band VIII,GSM 1800,GSM 1900,GSM 900,GSM850 (GSM800)",NONE,Samsung,SM-G900H,Android,Y,Y,Y,Smartphone,Not Known,Not Known,Not Known,Not Known,6544737,Samsung Galaxy S5,SM-G900H,Galaxy S5,Samsung SM-G900H,2013-11-01 00:00:00.000,450,MANU,210005,2014,1,Mobile Phone,1,1080,1920,5.1,432,3,24,1,16,1,0,0,0,0,0,0,Samsung,Exynos 5 Octa,5422,Cortex-A53 & Cortex-A57,4+4,1900 & 1300,Mali-T628 MP6,1,Micro,16/32,1,2048,Android,4.4.2,1,0,0,0,0,0,0,0,0,Android Browser,,WebKit,1,1,1,1,0,0,1,0,1,1,1,1,,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35161206,GALAXY S4 GT-I9500,Samsung Korea,"WCDMA FDD Band I,WCDMA FDD Band II,WCDMA FDD Band V,WCDMA FDD Band VIII,GSM 1800,GSM 1900,GSM 900,GSM850 (GSM800)",NONE,Samsung,GT-I9500,"Android,Not Known",Y,Y,Y,Mobile Phone/Feature phone,Not Known,Not Known,Not Known,Not Known,4486919,Samsung Galaxy S4,GT-I9500,Galaxy S4,GALAXY S4 GT-I9500,2013-11-04 00:00:00.000,450,MANU,210005,2013,1,Mobile Phone,1,1080,1920,5,441,3,24,1,13,1,0,0,0,0,0,0,Samsung,Exynos 5 Octa,5410,Cortex-A15 & Cortex-A7,4+4,1200 & 1600,PowerVR SGX544MP3,1,Micro,16/32/64,1,2048,Android,4.1.1,1,0,0,0,0,0,0,0,0,Android Browser,,WebKit,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35003080,MT3-411A21,Motorola Inc.,"GSM 1800,GSM 900",NONE,Not Known,MT3-411A21,Not Known,Not Known,Not Known,Not Known,Handheld,Not Known,Not Known,Not Known,Not Known,10002835,Motorola G18 GPRS Data Module,G18,G18 GPRS Data Module,MT3-411A21,2001-08-29 00:00:00.000,310,MANU,200013,2003,,Embedded Network Module,0,,,,,1,,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Other,,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,
35161606,Samsung GT-I9195,Samsung Korea,"GSM 1800,GSM 1900,GSM 900,GSM850 (GSM800),LTE FDD BAND 1,LTE FDD BAND 20,LTE FDD BAND 3,LTE FDD BAND 5,LTE FDD BAND 7,LTE FDD BAND 8,WCDMA FDD Band I,WCDMA FDD Band II,WCDMA FDD Band V,WCDMA FDD Band VIII",NONE,Samsung,GT-I9195,Android,Y,Y,Y,Smartphone,Not Known,Not Known,Not Known,Not Known,4505854,Samsung Galaxy S4 Mini,GT-I9195,Galaxy S4 Mini,Samsung GT-I9195,2013-11-05 00:00:00.000,450,MANU,210005,2013,1,Mobile Phone,1,540,960,4.3,256,1.5,24,1,8,1,0,0,0,0,0,0,Qualcomm,Spdragon 400,MSM8930AB,Krait 300,2,1700,Adreno 305,1,Micro,16-Aug,1,1536,Android,2.3.6,1,0,0,0,0,0,0,0,0,Android Browser,,WebKit,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,3,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
